time,mse_pose,mse_landmarks
9.927176,0.1690996,0.2853193
9.931551,0.1682462,0.2853193
9.935987,0.1676239,0.2853193
9.940499,0.1670053,0.2853193
9.945065,0.1663564,0.2853193
9.949599,0.1656269,0.2853193
9.954228,0.1650086,0.2853193
9.958899,0.1643298,0.2853193
9.963503,0.1635586,0.2853193
9.968161,0.1628949,0.2853193
9.972676,0.1620656,0.2853193
9.977298,0.1614562,0.2853193
9.981975,0.1507682,0.2831924
9.988126,0.1512487,0.2831924
9.992663,0.1492778,0.2831924
9.997269,0.1487339,0.2831924
10.00178,0.1480682,0.2831924
10.00622,0.1474379,0.2831924
10.01067,0.1468682,0.2831924
10.0152,0.1463403,0.2831924
10.01955,0.1456358,0.2831924
10.0241,0.1451993,0.2831924
10.02883,0.144725,0.2831924
10.03326,0.1439271,0.2831924
10.03779,0.14342,0.2831924
10.04231,0.1428202,0.2831924
10.04687,0.1523659,0.2782415
10.05238,0.152314,0.2782415
10.05688,0.1510143,0.2782415
10.06147,0.1504688,0.2782415
10.06631,0.1500034,0.2782415
10.07121,0.1493937,0.2782415
10.07581,0.1485999,0.2782415
10.08042,0.1480014,0.2782415
10.08495,0.1473559,0.2782415
10.08941,0.1467273,0.2782415
10.09401,0.1462069,0.2782415
10.09927,0.1459271,0.2782415
10.10454,0.1452455,0.2782415
10.10918,0.1442731,0.2782415
10.11371,0.1453058,0.2771711
10.11929,0.1450483,0.2771711
10.12384,0.1437686,0.2771711
10.12867,0.1431742,0.2771711
10.13331,0.1423551,0.2771711
10.13786,0.1416126,0.2771711
10.14248,0.1409383,0.2771711
10.147,0.1401958,0.2771711
10.15146,0.1394847,0.2771711
10.15587,0.1387887,0.2771711
10.16051,0.1381896,0.2771711
10.16508,0.1374614,0.2771711
10.16967,0.136777,0.2771711
10.17414,0.1360426,0.2771711
10.17887,0.1354427,0.2771711
10.18358,0.12989,0.2794257
10.18911,0.1295545,0.2794257
10.19366,0.1285392,0.2794257
10.19827,0.1279769,0.2794257
10.20278,0.1273579,0.2794257
10.2073,0.1267876,0.2794257
10.21186,0.1262226,0.2794257
10.2165,0.1256618,0.2794257
10.22114,0.1250745,0.2794257
10.22565,0.1244564,0.2794257
10.23024,0.1239035,0.2794257
10.23476,0.1233071,0.2794257
10.23918,0.1227196,0.2794257
10.2437,0.1221825,0.2794257
10.24817,0.1350256,0.2782928
10.25366,0.1346845,0.2782928
10.25827,0.1338759,0.2782928
10.26275,0.1333124,0.2782928
10.26726,0.1327849,0.2782928
10.27177,0.1322527,0.2782928
