t,kalman_gain
400,0.07594214
401,0.09154009
402,0.09400689
403,0.1057801
404,0.1861495
405,0.092503
406,0.07674742
407,0.0652409
408,0.06129708
409,0.06633254
410,0.07653943
411,0.08304048
412,0.09107482
413,0.1095227
414,0.1530691
415,0.09703427
416,0.08178627
417,0.07116094
418,0.06747106
419,0.06419615
420,0.07428678
421,0.08445422
422,0.08853289
423,0.1122853
424,0.1358137
425,0.09594072
426,0.08284677
427,0.07045805
428,0.06263737
429,0.0663905
430,0.07381958
431,0.0861204
432,0.08753391
433,0.129636
434,0.1197847
435,0.1020089
436,0.08729994
437,0.0679351
438,0.06363549
439,0.06572267
440,0.07516045
441,0.08286132
442,0.09113214
443,0.1366
444,0.1175265
445,0.1028699
446,0.08392543
447,0.06098413
448,0.05747999
449,0.07049837
450,0.07918286
451,0.08839336
452,0.09083482
453,0.1399546
454,0.1077299
455,0.1030922
456,0.0792377
457,0.05985856
458,0.05592979
459,0.07117804
460,0.07817179
461,0.09513692
462,0.1017249
463,0.1498932
464,0.1008934
465,0.09723472
466,0.07836501
467,0.05929297
468,0.05641778
469,0.06788816
470,0.07570625
471,0.09805581
472,0.1087339
473,0.1635112
474,0.1058171
475,0.1046154
476,0.08783003
477,0.06470545
478,0.06043173
479,0.06433323
480,0.07462502
481,0.09032875
482,0.1090444
483,0.164693
484,0.09442913
485,0.09475176
486,0.07502788
487,0.05788636
488,0.05499395
489,0.06674698
490,0.07383725
491,0.08909006
492,0.1125061
493,0.1594967
494,0.08859927
495,0.09476619
496,0.06935632
497,0.05590972
498,0.05301305
499,0.07280756
500,0.08403403
501,0.09198946
502,0.1154436
503,0.1962416
504,0.09613974
505,0.1101008
506,0.09452116
507,0.07223358
508,0.0680422
509,0.0574295
510,0.07139819
511,0.09418246
512,0.123686
513,0.154697
514,0.09303458
515,0.1046751
516,0.09555006
517,0.07372966
518,0.06809549
519,0.05754502
520,0.07053363
521,0.08519812
522,0.1156245
523,0.1381837
524,0.08509107
525,0.1011921
526,0.0887304
527,0.07273196
528,0.06991445
529,0.06132424
530,0.07389644
531,0.08012781
532,0.1119267
533,0.07989179
534,0.07768526
535,0.09337262
536,0.0792225
537,0.06457932
538,0.06118822
539,0.06457543
540,0.07745183
541,0.08397534
542,0.120281
543,0.1046127
544,0.07660156
545,0.09735844
546,0.08156682
547,0.06355305
548,0.0587944
549,0.06768475
550,0.08288517
551,0.09115583
552,0.1329876
553,0.1256207
554,0.07832776
555,0.1021215
556,0.08112884
557,0.0596204
558,0.05670259
559,0.07058849
560,0.08656271
561,0.08933458
562,0.1320768
563,0.115821
564,0.06793458
565,0.08912923
566,0.07357575
567,0.05886637
568,0.05620129
569,0.06627399
570,0.08401611
571,0.09231274
572,0.1239074
573,0.1203371
574,0.07908046
575,0.09915448
576,0.0772643
577,0.05852372
578,0.05578561
579,0.07245894
580,0.09635437
581,0.1085351
582,0.1419911
583,0.1171373
584,0.07341663
585,0.09477218
586,0.07666719
587,0.06123086
588,0.05837969
589,0.07296824
590,0.086386
591,0.09731056
592,0.1126238
593,0.1128957
594,0.07054064
595,0.09480417
596,0.07750519
597,0.05954482
598,0.05663394
599,0.06894555
600,0.08745129
601,0.09947466
602,0.1219532
603,0.1098593
604,0.07779194
605,0.1086756
606,0.08796427
607,0.0652298
608,0.06082568
609,0.06515422
610,0.09213249
611,0.1076199
612,0.1176124
613,0.1086378
614,0.07892366
615,0.1078101
616,0.09716341
617,0.06817318
618,0.06587145
619,0.06750688
620,0.09236787
621,0.1075567
622,0.09949432
623,0.0973294
624,0.07212533
625,0.1001113
626,0.08508623
627,0.06609463
628,0.06290662
629,0.06684212
630,0.09288912
631,0.1124777
632,0.1022145
633,0.09242675
634,0.07115192
635,0.09753156
636,0.08039308
637,0.06116443
638,0.0580745
639,0.07318424
640,0.09955962
641,0.1193971
642,0.103115
643,0.09389269
644,0.066961
645,0.09096792
646,0.07099842
647,0.06083463
648,0.057591
649,0.07807273
650,0.1076344
651,0.1261017
652,0.1049712
